ticker,sector,fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,gross_margin,ebitda_margin,ebit_margin,net_margin,roe,roa,asset_turnover,working_capital,current_ratio,debt_to_equity,interest_coverage,fcf,fcf_margin,cfo_to_net_income
MSFT,Technology,2021,168088.0,52232.0,115856.0,79216.0,69916.0,9300.0,2346.0,9831.0,61271.0,8.05,14224.0,184406.0,333779.0,88657.0,58146.0,8072.0,50074.0,141988.0,76740.0,20622.0,-48486.0,-27577.0,0.689258007710247,0.4712769501689591,0.415948788729713,0.36451739564989766,0.4315223821731414,0.18356757015869782,0.5035906992351227,95749.0,2.0799936835218875,0.4095134800123954,29.80221653878943,56118.0,0.33386083480081863,1.2524685413980512
MSFT,Technology,2022,198270.0,62650.0,135620.0,95983.0,83383.0,12600.0,2063.0,10978.0,72738.0,9.65,13931.0,169684.0,364840.0,95082.0,49781.0,2749.0,47032.0,166542.0,89035.0,23886.0,-58876.0,-30311.0,0.684016744842891,0.4841024865082968,0.4205527815604983,0.3668633681343622,0.4367546925099975,0.19936958666812848,0.5434437013485364,74602.0,1.7846069708251824,0.2989095843691081,40.41832283082889,65149.0,0.3285872799717557,1.224050702521378
MSFT,Technology,2023,211915.0,65863.0,146052.0,99523.0,88523.0,11000.0,1968.0,16950.0,72361.0,9.68,34704.0,184257.0,411976.0,104149.0,47237.0,5247.0,41990.0,206223.0,87582.0,28107.0,-43935.0,-22680.0,0.6892008588349102,0.46963641082509494,0.417728806361041,0.3414623787839464,0.35088714643856406,0.175643726819038,0.5143867603938094,80108.0,1.76916725076573,0.2290578645446919,44.98119918699187,59475.0,0.2806549795908737,1.2103481156976825
MSFT,Technology,2024,245122.0,74114.0,171008.0,124633.0,109433.0,15200.0,2935.0,19651.0,88136.0,11.8,18315.0,159734.0,512163.0,125286.0,44937.0,2249.0,42688.0,268477.0,118548.0,44477.0,-37757.0,-96970.0,0.6976444382797138,0.5084529336412072,0.44644299573273716,0.35955972944084985,0.32828137978299815,0.17208583985957596,0.47860153896318164,34448.0,1.2749549031815206,0.16737746622615718,37.285519591141394,74071.0,0.3021801388696241,1.345057638195516
MSFT,Technology,2025,281724.0,87831.0,193893.0,150528.0,128528.0,22000.0,2385.0,21795.0,101832.0,13.64,30242.0,191131.0,619003.0,141218.0,43151.0,2999.0,40152.0,343479.0,136162.0,64551.0,-51699.0,-72599.0,0.6882374238616519,0.5343101759168548,0.4562195624085985,0.3614601524896707,0.2964722734140952,0.16450970350709124,0.4551254194244616,49913.0,1.3534464445042416,0.12562922332951942,53.89014675052411,71611.0,0.2541884965427156,1.3371238903291696
MSFT,Technology,2026,331839.0,106374.0,225465.0,189537.0,155237.0,34300.0,3051.0,32185.0,133749.0,17.95,20935.0,207710.0,758376.0,168825.0,40294.0,9227.0,31067.0,442387.0,182935.0,115948.0,-52546.0,-139500.0,0.6794409337058032,0.5711715621129524,0.4678081840892722,0.4030538905915218,0.30233483352811,0.17636238488559763,0.4375652710528814,38885.0,1.2303272619576484,0.09108314665666034,50.880694854146185,66987.0,0.20186596512164032,1.367748543914347
GOOGL,Communication Services,2016,90272.0,35138.0,55134.0,,23716.0,,124.0,4672.0,19478.0,27.85,12918.0,105408.0,167497.0,16756.0,3935.0,0.0,3935.0,139036.0,36036.0,10212.0,-8332.0,-31165.0,0.6107541651896491,,0.26271712158808935,0.2157701169797944,0.140093213268506,0.11628864994596919,0.5389469662143203,88652.0,6.290761518262115,0.028302022497770363,191.25806451612902,25824.0,0.2860687699397377,1.8500872779546154
GOOGL,Communication Services,2017,110855.0,45583.0,65272.0,,26178.0,,109.0,14531.0,12662.0,18.0,10715.0,124308.0,197295.0,24183.0,3943.0,,3943.0,152502.0,37091.0,13184.0,-8298.0,-31401.0,0.5888051959767263,,0.23614631726128726,0.11422128005051645,0.08302841929941902,0.06417800755214273,0.5618743505917535,100125.0,5.140305173055452,0.025855398617723048,240.1651376146789,23907.0,0.21566009652248433,2.929316063812984
GOOGL,Communication Services,2018,136819.0,59549.0,77270.0,,27524.0,,114.0,4177.0,30736.0,43.7,16701.0,135676.0,232792.0,34620.0,3950.0,,3950.0,177628.0,47971.0,25139.0,-13179.0,-28504.0,0.5647607422945643,,0.20117089000796673,0.22464716157843576,0.17303578264688,0.13203202859204782,0.5877306780301729,101056.0,3.919006354708261,0.022237485081180897,241.43859649122808,22832.0,0.1668774073776303,1.5607431025507548
GOOGL,Communication Services,2019,161857.0,71896.0,89961.0,,34231.0,,100.0,5282.0,34343.0,49.16,18498.0,152578.0,275909.0,45221.0,3958.0,0.0,3958.0,201442.0,54520.0,23548.0,-23209.0,-29491.0,0.5558054331910266,,0.2114891540063142,0.2121811228430034,0.17048579740074066,0.1244721991671167,0.5866318242608977,107357.0,3.374051878552,0.01964833550103752,342.31,30972.0,0.19135409651729612,1.5875141950324665
GOOGL,Communication Services,2020,182527.0,84732.0,97795.0,,41224.0,,135.0,7813.0,40269.0,2.93,26465.0,174296.0,319616.0,56834.0,16318.0,999.0,15319.0,222544.0,65124.0,22281.0,-24408.0,-32773.0,0.5357837470620785,,0.22585151785763202,0.22061941520980458,0.18094848659141563,0.12599181517821387,0.57108217360833,117462.0,3.0667558151810534,0.07332482565245524,305.36296296296297,42843.0,0.23472143847211646,1.617224167473739
